,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
29,-0.8176,Fri Jun 01 09:32:42 +0000 2018,0.378,0.622,0.0,"Spain's prime minister is forced out of his job, losing a no-confidence vote triggered by a corruption scandal https://t.co/T6sskEuPSj",30,@BBCBreaking
30,0.0,Thu May 31 18:23:24 +0000 2018,0.0,1.0,0.0,"Talks on summit between Trump and Kim Jong-un ""moving in the right direction"", secretary of state Mike Pompeo says https://t.co/PnxigeVi40",31,@BBCBreaking
31,-0.4767,Thu May 31 13:45:28 +0000 2018,0.134,0.866,0.0,"The US to put tariffs on steel and aluminium made by key allies, a move France says is ""unjustifiable and dangerous"" https://t.co/RuuMpmGgNJ",32,@BBCBreaking
32,0.2263,Thu May 31 11:13:24 +0000 2018,0.0,0.921,0.079,"RT @BBCSport: Zinedine Zidane says he is stepping down as Real Madrid boss, just five days after leading them to a third straight Champions…",33,@BBCBreaking
33,-0.743,Thu May 31 09:00:21 +0000 2018,0.31,0.69,0.0,"Lithuania and Romania assisted CIA torture of al-Qaeda suspects, European Court of Human Rights rules https://t.co/VdnWsfigYS",34,@BBCBreaking
34,-0.6486,Wed May 30 14:58:51 +0000 2018,0.212,0.788,0.0,"The moment Russian journalist Arkady Babchenko, who had been reported dead yesterday, appeared at a press conferenc… https://t.co/iHb6Rc1NCY",35,@BBCBreaking
35,-0.1531,Wed May 30 14:49:30 +0000 2018,0.091,0.909,0.0,"""Assassination"" of journalist Arkady Babchenko was ""staged to expose Russian agents"", says head of Ukraine's securi… https://t.co/SPcn5LgkRh",36,@BBCBreaking
36,0.5719,Wed May 30 14:30:55 +0000 2018,0.0,0.761,0.239,"Russian journalist Arkady Babchenko, reportedly assassinated in Kiev on Tuesday, appears on TV alive and well https://t.co/Jq3liX4P2o",37,@BBCBreaking
37,-0.7184,Tue May 29 17:53:41 +0000 2018,0.286,0.714,0.0,"""Abhorrent, repugnant"" - and cancelled. ABC drops Roseanne's show after star's racist tweet about an Obama aide https://t.co/2eutMyKysP",38,@BBCBreaking
38,-0.6705,Tue May 29 14:37:23 +0000 2018,0.231,0.769,0.0,"Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll - Harvard study https://t.co/3HplA9VkAB",39,@BBCBreaking
39,-0.6705,Tue May 29 13:00:18 +0000 2018,0.243,0.757,0.0,"Two police officers killed by gunman in Liège were both women, city's mayor confirms
https://t.co/WyTQaq20ss",40,@BBCBreaking
40,-0.8271,Tue May 29 11:30:35 +0000 2018,0.412,0.588,0.0,"Belgian authorities confirm they are treating the attack in Liège as terrorism 
https://t.co/d4uJcconBF",41,@BBCBreaking
41,-0.926,Tue May 29 09:20:35 +0000 2018,0.424,0.576,0.0,"Two police officers shot dead in eastern Belgian city of Liège, senate chief says, with reports attacker is killed https://t.co/FTmHJQ5V71",42,@BBCBreaking
42,-0.9134,Mon May 28 12:05:39 +0000 2018,0.425,0.523,0.052,Murder investigation launched after man was killed and several more injured when car hit people near Stockport club https://t.co/raUxSrvGY7,43,@BBCBreaking
43,0.0,Mon May 28 09:52:58 +0000 2018,0.0,1.0,0.0,"Man in his 80s dies after vehicle submerged in flood water in Walsall, police say https://t.co/8hmZZR6Ifh",44,@BBCBreaking
44,-0.886,Mon May 28 09:50:22 +0000 2018,0.464,0.536,0.0,"Man arrested on suspicion of murder of woman, 31, and girl, 11, in Gloucester https://t.co/5W9CiZIqiz",45,@BBCBreaking
45,0.5106,Mon May 28 08:49:02 +0000 2018,0.0,0.845,0.155,"After his dramatic rescue of a young boy from a Paris balcony, Malian migrant Mamoudou Gassama is made a French cit… https://t.co/ki7aWgGtPQ",46,@BBCBreaking
46,0.0,Sun May 27 18:12:19 +0000 2018,0.0,1.0,0.0,Italy PM-designate Guiseppe Conte gives up bid to form government amid reports president vetoed economy pick https://t.co/AbEoT2SdF0,47,@BBCBreaking
